,biotrans,biotrans,india,india,papa,papa,kerfix,kerfix
,N,Chla,N,Chla,N,Chla,N,Chla
0,5.947188645601273,0.21719593,11.522749483585358,,12.795668542385101,0.3693725,23.642963409423828,0.29420298
1,7.667043298482895,0.22822902,12.918452978134155,0.18400465,14.55476999282837,0.34967172,22.249675496419272,0.2742253
2,6.560611605644226,0.32341284,12.751229584217072,0.20426287,13.559718191623688,0.3212909,24.170984268188477,0.22567603
3,6.265701979398727,0.517609,12.785395383834839,0.31114808,14.569391906261444,0.28936845,22.535960515340168,0.22805695
4,4.082890212535858,0.79371387,9.135742843151093,0.7584474,12.802246570587158,0.31820408,23.20895004272461,0.26717383
5,1.1516454070806503,0.66048664,5.686655133962631,0.9485228,11.448672115802765,0.35094953,23.9826779683431,
6,0.35991845605894923,0.43114161,4.502690970897675,0.7608911,11.067699432373047,0.3173452,24.839822642008464,
7,0.10639991704374552,0.3648323,2.8628456592559814,0.900966,7.826926797628403,0.4378286,25.59631004333496,0.188271
8,0.22115108370780945,0.33067486,3.7880268692970276,0.62923723,8.82037016749382,0.40896404,25.96795565287272,0.18238893
9,1.1422997452318668,0.36059904,5.5091875195503235,0.4534866,8.491474777460098,0.39880726,25.239763259887695,0.20117491
10,3.326577842235565,0.31265676,9.682000458240509,,10.445828139781952,0.37339026,24.692036565144857,0.28191122
11,4.403029456734657,0.25592265,11.221030712127686,,13.586553990840912,,23.26805280049642,0.33485448
